,Column1,Column2,Sum of Function Results
0,Assamese,English,0.2934381387682515
1,Assamese,Sanskrit,0.4237779282292739
2,Assamese,Romani,0.43256815860910636
3,Assamese,Dhivehi,0.3954714750781003
4,Assamese,Kashmiri,0.2565665749700716
5,Assamese,Odia,0.5806327545112915
6,Assamese,Bengali,0.5947912323343655
7,Assamese,Konkani,0.43147763082200624
8,Assamese,Marathi,0.47001222584383384
9,Assamese,Sinhalese,0.3903592496509856
10,Assamese,Sindhi,0.4630251642213915
11,Assamese,Saraiki,0.47772623094684274
12,Assamese,Punjabi,0.48603047133067834
13,Assamese,Bhojpuri,0.4952222997886674
14,Assamese,Nepali,0.49381980772594986
15,Assamese,Urdu,0.5010367236730245
16,Assamese,Hindi,0.5091011553859495
17,Assamese,Gujarati,0.4795713386120562
18,Assamese,Pali,0.4804770913466566
19,Bengali,Marathi,0.5620859480302774
20,Bengali,Gujarati,0.5740739225671362
21,Bengali,Sindhi,0.5384179227634484
22,Bengali,Saraiki,0.529234019054585
23,Bengali,Punjabi,0.5822635028409127
24,Bengali,Pali,0.5446884902026379
25,Bengali,Hindi,0.6206304145802649
26,Bengali,Sanskrit,0.4916062930670706
27,Bengali,English,0.3200549052630948
28,Bengali,Konkani,0.5106978350824682
29,Bengali,Nepali,0.5575058745751177
30,Bengali,Odia,0.6873273090089285
31,Bengali,Bhojpuri,0.5854636860042887
32,Bengali,Sinhalese,0.4399311061153575
33,Bengali,Assamese,0.5947912323343655
34,Bengali,Kashmiri,0.29145990119075005
35,Bengali,Urdu,0.611347177220193
36,Bengali,Dhivehi,0.40286645806544585
37,Bengali,Romani,0.44736961825758703
38,Bhojpuri,Gujarati,0.6040373500690961
39,Bhojpuri,Assamese,0.4952222997886674
40,Bhojpuri,Bengali,0.5854636860042887
41,Bhojpuri,Romani,0.48004955068447125
42,Bhojpuri,Dhivehi,0.4214708954874586
43,Bhojpuri,Sinhalese,0.44610546817613217
44,Bhojpuri,Kashmiri,0.35348905710074324
45,Bhojpuri,Odia,0.5486293801453682
46,Bhojpuri,Konkani,0.5397233312232161
47,Bhojpuri,Marathi,0.6024782866512793
48,Bhojpuri,Sindhi,0.567953321461488
49,Bhojpuri,Punjabi,0.6800926161059586
50,Bhojpuri,Nepali,0.6022192634108898
51,Bhojpuri,Urdu,0.7318977012558793
52,Bhojpuri,Saraiki,0.6030308009604076
53,Bhojpuri,Pali,0.5593283566368452
54,Bhojpuri,Sanskrit,0.5052503192944877
55,Bhojpuri,English,0.3123638147332649
56,Bhojpuri,Hindi,0.7659704607944774
57,Dhivehi,Bhojpuri,0.4214708954874586
58,Dhivehi,Pali,0.45460417965593947
59,Dhivehi,Hindi,0.45452755119191746
60,Dhivehi,Assamese,0.3954714750781003
61,Dhivehi,Urdu,0.4398495565047209
62,Dhivehi,Bengali,0.40286645806544585
