,Column1,Column2,Sum of Function Results
0,Assamese,Bengali,0.5947912323343655
1,Assamese,Odia,0.5806327545112915
2,Assamese,Hindi,0.5091011553859495
3,Assamese,Urdu,0.5010367236730245
4,Assamese,Bhojpuri,0.4952222997886674
5,Assamese,Nepali,0.49381980772594986
6,Bengali,Odia,0.6873273090089285
7,Bengali,Hindi,0.6206304145802649
8,Bengali,Urdu,0.611347177220193
9,Bengali,Assamese,0.5947912323343655
10,Bengali,Bhojpuri,0.5854636860042887
11,Bengali,Punjabi,0.5822635028409127
12,Bhojpuri,Hindi,0.7659704607944774
13,Bhojpuri,Urdu,0.7318977012558793
14,Bhojpuri,Punjabi,0.6800926161059586
15,Bhojpuri,Gujarati,0.6040373500690961
16,Bhojpuri,Saraiki,0.6030308009604076
17,Bhojpuri,Marathi,0.6024782866512793
18,Dhivehi,Sinhalese,0.5179874062416451
19,Dhivehi,Nepali,0.4623181324124503
20,Dhivehi,Gujarati,0.4560505810678343
21,Dhivehi,Pali,0.45460417965593947
22,Dhivehi,Hindi,0.45452755119191746
23,Dhivehi,Punjabi,0.44862364926777165
24,English,Odia,0.3568338012897479
25,English,Sindhi,0.3274348818287167
26,English,Sanskrit,0.3205283814669597
27,English,Bengali,0.3200549052630948
28,English,Bhojpuri,0.3123638147332649
29,English,Gujarati,0.3093939714827683
30,Gujarati,Marathi,0.6345064953875628
31,Gujarati,Hindi,0.6279828475250605
32,Gujarati,Sindhi,0.6041657807128247
33,Gujarati,Bhojpuri,0.6040373500690961
34,Gujarati,Nepali,0.6035937496715044
35,Gujarati,Urdu,0.5999965089567113
36,Hindi,Urdu,0.8939648215700665
37,Hindi,Bhojpuri,0.7659704607944774
38,Hindi,Punjabi,0.7512395306046099
39,Hindi,Saraiki,0.6900300119071686
40,Hindi,Nepali,0.6533926301697179
41,Hindi,Gujarati,0.6279828475250605
42,Kashmiri,Nepali,0.43939965452502827
43,Kashmiri,Hindi,0.4194711805247806
44,Kashmiri,Urdu,0.4118322688140953
45,Kashmiri,Sinhalese,0.4117416633844461
46,Kashmiri,Sindhi,0.41075499192591436
47,Kashmiri,Marathi,0.4071185636863115
48,Konkani,Marathi,0.6464791970888127
49,Konkani,Gujarati,0.5664868475082415
50,Konkani,Hindi,0.5411048272331916
51,Konkani,Bhojpuri,0.5397233312232161
52,Konkani,Urdu,0.5371155772121955
53,Konkani,Nepali,0.5319724294994596
54,Marathi,Konkani,0.6464791970888127
55,Marathi,Gujarati,0.6345064953875628
56,Marathi,Hindi,0.6156419099138216
57,Marathi,Nepali,0.6076983479674991
58,Marathi,Bhojpuri,0.6024782866512793
59,Marathi,Urdu,0.5885279116933131
60,Nepali,Hindi,0.6533926301697179
61,Nepali,Urdu,0.6332073902122212
62,Nepali,Punjabi,0.6130776583962688
63,Nepali,Marathi,0.6076983479674991
64,Nepali,Gujarati,0.6035937496715044
65,Nepali,Bhojpuri,0.6022192634108898
66,Odia,Bengali,0.6873273090089285
67,Odia,Hindi,0.5932131675632941
68,Odia,Assamese,0.5806327545112915
69,Odia,Urdu,0.5702323488267818
70,Odia,Punjabi,0.5554241322242243
71,Odia,Bhojpuri,0.5486293801453682
72,Pali,Sanskrit,0.7496247581708819
73,Pali,Hindi,0.5899030244095805
74,Pali,Punjabi,0.5718193661257843
75,Pali,Urdu,0.5633598145330374
76,Pali,Bhojpuri,0.5593283566368452
77,Pali,Gujarati,0.5549634953821749
78,Punjabi,Saraiki,0.7569874254944418
79,Punjabi,Hindi,0.7512395306046099
80,Punjabi,Urdu,0.7226414461749175
81,Punjabi,Bhojpuri,0.6800926161059586
82,Punjabi,Sindhi,0.6158339509156163
83,Punjabi,Nepali,0.6130776583962688
84,Romani,Nepali,0.5083243346298327
85,Romani,Bhojpuri,0.48004955068447125
86,Romani,Hindi,0.47882104646539886
87,Romani,Odia,0.47163427912220174
88,Romani,Marathi,0.46454750933701927
89,Romani,Pali,0.4636288959615391
90,Sanskrit,Pali,0.7496247581708819
91,Sanskrit,Hindi,0.5568958782784409
92,Sanskrit,Punjabi,0.5347586880483131
93,Sanskrit,Sinhalese,0.5323992851259796
94,Sanskrit,Urdu,0.5255297229417312
95,Sanskrit,Marathi,0.5181022979780744
96,Saraiki,Punjabi,0.7569874254944418
97,Saraiki,Hindi,0.6900300119071686
98,Saraiki,Urdu,0.6768290328216715
99,Saraiki,Sindhi,0.6468959330933105
100,Saraiki,Bhojpuri,0.6030308009604076
101,Saraiki,Nepali,0.5726936237173181
102,Sindhi,Saraiki,0.6468959330933105
103,Sindhi,Punjabi,0.6158339509156163
104,Sindhi,Hindi,0.6085248583178189
105,Sindhi,Urdu,0.6057529533489967
106,Sindhi,Gujarati,0.6041657807128247
107,Sindhi,Nepali,0.5957517016293183
108,Sinhalese,Pali,0.5491548869659533
109,Sinhalese,Sanskrit,0.5323992851259796
110,Sinhalese,Dhivehi,0.5179874062416451
111,Sinhalese,Hindi,0.4823207215438503
112,Sinhalese,Punjabi,0.48122194153534226
113,Sinhalese,Marathi,0.474138449236759
114,Urdu,Hindi,0.8939648215700665
115,Urdu,Bhojpuri,0.7318977012558793
116,Urdu,Punjabi,0.7226414461749175
117,Urdu,Saraiki,0.6768290328216715
118,Urdu,Nepali,0.6332073902122212
119,Urdu,Bengali,0.611347177220193
